,Description,Ammonia,Apple,Apricot,Berry,Blue,Blueberry,Butter,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Fruit,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Mint,Minty,None,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree,Tropical,Vanilla,Violet,Woody
0, og   hybrid strain pack strong punch name supposedly refers strength high price first started showing hollywood plant  og tends produce large dark green bud stem user report strong body effect indica pain relief alert cerebral feeling thanks sativa side,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1, aloha white widow especially potent cut white widow grown renown alongside hawaiian legend maui wowie kona gold white widow phenotype reek diesel skunk rich earthy taste intermittent note hash bud coated trichomes giving dark foliage lustrous glint go along room filling odor one hitter quitter uplift mind mind bending euphoria materializes body airy relaxation  aloha white widow available pua mana st hawaiian pakalōlō seed bank,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2, sativa dominant hybrid bred spain medical seed co breeder claim guard secret genetics due security reason regardless genetic heritage  thc powerhouse sweet spicy bouquet subtle fruit flavor mix herbal musk produce uplifting sativa effect one specific phenotype noted pungent odor fill room similar burning incense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3, dawgs hybrid g chemdawg genetics bred canadian lp delta  biotech two potent strain mix create balance indica sativa effect  dawgs sweet earthy musk brings blend woody citrus flavor effect  dawgs induce happy relaxed body buzz creative focused mind counter depression stimulates appetite,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,known kosher tangie k gold  indica dominant hybrid combine legendary la strain kosher kush champion sativa tangie create something quite unique growing tall vegetative cycle stretchy flower one will need experienced hand grown indoors phenotype will exhibit sweet orange aroma tangie along dark coloration kosher kush will offer strong citrus flavor smoked vaped thc level range   definitely novice user,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5, bear og mephisto genetics autoflowering cross bear og karma s og cut triangle kush indica dominant strain generates pungent flavorful bud smaller manageable plant size mephisto genetics describes  bear og cornerstone artisanal collection blending best attribute fabled og kush compact controllable growth structure  bear og approximate  day growth cycle offer effect stimulate appetite leading body toward sleep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6, king marijuana strain holy trinity headband sour diesel og kush sativa dominant hybrid genetic masterpiece sour tanginess reek sage green bud frosty coat give fair warning  king potency medical patient will appreciate versatility strain s medicinal effect relief pain stress nausea without heavy sedation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,indica dominant  og colorado strain bred crossing pre  bubba kush chemdawg parent strain pas complex flavor profile coffee spice diesel undertone buzz described social creative dreamy experience perfect letting steam end work day happy euphoria induced  og may help patient treating depression anxiety stress disorder,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,d cbd snoop dogg s branded line cannabis strain crafted patient mind thc cbd ratio   earthy flavored sativa preferred treating pain inflammation muscle tension consumer susceptible thc induced anxiety may appreciate sobering relaxing balance cbd offer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,known optimus prime indica dominant x crazy three way cross og kush bubba kush granddaddy purple aroma comprised sweet grape spicy pepper earthy note passed bubba kush parent indica will leave sedated soothing full body effect brief phase clear headed cerebral psychoactivity relaxing effect induced x crazy used treat variety severe symptom include pain spasm tension insomnia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
